time,Ar,Ar+,e,rate_constant0,rate_constant1,reduced_field
1.842e-07,2.5e+19,19432.979386636,19432.979386636,2.1386114073406e-12,1e-25,30
1.843e-07,2.5e+19,19537.436849834,19537.436849834,2.1386114073406e-12,1e-25,30
1.844e-07,2.5e+19,19642.455799842,19642.455799842,2.1386114073406e-12,1e-25,30
1.845e-07,2.5e+19,19748.039254802,19748.039254802,2.1386114073406e-12,1e-25,30
1.846e-07,2.5e+19,19854.190249079,19854.190249079,2.1386114073406e-12,1e-25,30
1.847e-07,2.5e+19,19960.911833348,19960.911833348,2.1386114073406e-12,1e-25,30
1.848e-07,2.5e+19,20068.207074685,20068.207074685,2.1386114073406e-12,1e-25,30
1.849e-07,2.5e+19,20176.079056648,20176.079056648,2.1386114073406e-12,1e-25,30
1.85e-07,2.5e+19,20284.530879373,20284.530879373,2.1386114073406e-12,1e-25,30
1.851e-07,2.5e+19,20393.565659659,20393.565659659,2.1386114073406e-12,1e-25,30
1.852e-07,2.5e+19,20503.186531059,20503.186531059,2.1386114073406e-12,1e-25,30
1.853e-07,2.5e+19,20613.39664397,20613.39664397,2.1386114073406e-12,1e-25,30
1.854e-07,2.5e+19,20724.199165722,20724.199165722,2.1386114073406e-12,1e-25,30
1.855e-07,2.5e+19,20835.597280672,20835.597280672,2.1386114073406e-12,1e-25,30
1.856e-07,2.5e+19,20947.594190291,20947.594190291,2.1386114073406e-12,1e-25,30
1.857e-07,2.5e+19,21060.193113262,21060.193113262,2.1386114073406e-12,1e-25,30
1.858e-07,2.5e+19,21173.397285568,21173.397285568,2.1386114073406e-12,1e-25,30
1.859e-07,2.5e+19,21287.209960585,21287.209960585,2.1386114073406e-12,1e-25,30
1.86e-07,2.5e+19,21401.634409179,21401.634409179,2.1386114073406e-12,1e-25,30
1.861e-07,2.5e+19,21516.673919795,21516.673919795,2.1386114073406e-12,1e-25,30
1.862e-07,2.5e+19,21632.331798558,21632.331798558,2.1386114073406e-12,1e-25,30
1.863e-07,2.5e+19,21748.61136936,21748.61136936,2.1386114073406e-12,1e-25,30
1.864e-07,2.5e+19,21865.515973964,21865.515973964,2.1386114073406e-12,1e-25,30
1.865e-07,2.5e+19,21983.048972093,21983.048972093,2.1386114073406e-12,1e-25,30
1.866e-07,2.5e+19,22101.21374153,22101.21374153,2.1386114073406e-12,1e-25,30
1.867e-07,2.5e+19,22220.013678215,22220.013678215,2.1386114073406e-12,1e-25,30
1.868e-07,2.5e+19,22339.452196343,22339.452196343,2.1386114073406e-12,1e-25,30
1.869e-07,2.5e+19,22459.532728458,22459.532728458,2.1386114073406e-12,1e-25,30
1.87e-07,2.5e+19,22580.258725559,22580.258725559,2.1386114073406e-12,1e-25,30
1.871e-07,2.5e+19,22701.633657191,22701.633657191,2.1386114073406e-12,1e-25,30
1.872e-07,2.5e+19,22823.661011552,22823.661011552,2.1386114073406e-12,1e-25,30
1.873e-07,2.5e+19,22946.344295589,22946.344295589,2.1386114073406e-12,1e-25,30
1.874e-07,2.5e+19,23069.687035098,23069.687035098,2.1386114073406e-12,1e-25,30
1.875e-07,2.5e+19,23193.69277483,23193.69277483,2.1386114073406e-12,1e-25,30
1.876e-07,2.5e+19,23318.365078589,23318.365078589,2.1386114073406e-12,1e-25,30
1.877e-07,2.5e+19,23443.707529333,23443.707529333,2.1386114073406e-12,1e-25,30
1.878e-07,2.5e+19,23569.723729282,23569.723729282,2.1386114073406e-12,1e-25,30
1.879e-07,2.5e+19,23696.417300019,23696.417300019,2.1386114073406e-12,1e-25,30
1.88e-07,2.5e+19,23823.791882593,23823.791882593,2.1386114073406e-12,1e-25,30
1.881e-07,2.5e+19,23951.851137624,23951.851137624,2.1386114073406e-12,1e-25,30
1.882e-07,2.5e+19,24080.59874541,24080.59874541,2.1386114073406e-12,1e-25,30
1.883e-07,2.5e+19,24210.038406032,24210.038406032,2.1386114073406e-12,1e-25,30
1.884e-07,2.5e+19,24340.173839458,24340.173839458,2.1386114073406e-12,1e-25,30
1.885e-07,2.5e+19,24471.008785654,24471.008785654,2.1386114073406e-12,1e-25,30
1.886e-07,2.5e+19,24602.547004687,24602.547004687,2.1386114073406e-12,1e-25,30
1.887e-07,2.5e+19,24734.792276838,24734.792276838,2.1386114073406e-12,1e-25,30
1.888e-07,2.5e+19,24867.748402705,24867.748402705,2.1386114073406e-12,1e-25,30
1.889e-07,2.5e+19,25001.419203319,25001.419203319,2.1386114073406e-12,1e-25,30
1.89e-07,2.5e+19,25135.808520246,25135.808520246,2.1386114073406e-12,1e-25,30
1.891e-07,2.5e+19,25270.920215705,25270.920215705,2.1386114073406e-12,1e-25,30
1.892e-07,2.5e+19,25406.758172672,25406.758172672,2.1386114073406e-12,1e-25,30
1.893e-07,2.5e+19,25543.326294999,25543.326294999,2.1386114073406e-12,1e-25,30
1.894e-07,2.5e+19,25680.628507519,25680.628507519,2.1386114073406e-12,1e-25,30
1.895e-07,2.5e+19,25818.668756163,25818.668756163,2.1386114073406e-12,1e-25,30
1.896e-07,2.5e+19,25957.451008073,25957.451008073,2.1386114073406e-12,1e-25,30
1.897e-07,2.5e+19,26096.979251715,26096.979251715,2.1386114073406e-12,1e-25,30
1.898e-07,2.5e+19,26237.257496994,26237.257496994,2.1386114073406e-12,1e-25,30
1.899e-07,2.5e+19,26378.289775369,26378.289775369,2.1386114073406e-12,1e-25,30
1.9e-07,2.5e+19,26520.080139971,26520.080139971,2.1386114073406e-12,1e-25,30
1.901e-07,2.5e+19,26662.632665714,26662.632665714,2.1386114073406e-12,1e-25,30
1.902e-07,2.5e+19,26805.951449421,26805.951449421,2.1386114073406e-12,1e-25,30
1.903e-07,2.5e+19,26950.040609931,26950.040609931,2.1386114073406e-12,1e-25,30
1.904e-07,2.5e+19,27094.904288226,27094.904288226,2.1386114073406e-12,1e-25,30
1.905e-07,2.5e+19,27240.546647547,27240.546647547,2.1386114073406e-12,1e-25,30
1.906e-07,2.5e+19,27386.971873513,27386.971873513,2.1386114073406e-12,1e-25,30
1.907e-07,2.5e+19,27534.18417424,27534.18417424,2.1386114073406e-12,1e-25,30
1.908e-07,2.5e+19,27682.187780468,27682.187780468,2.1386114073406e-12,1e-25,30
1.909e-07,2.5e+19,27830.986945673,27830.986945673,2.1386114073406e-12,1e-25,30
1.91e-07,2.5e+19,27980.585946199,27980.585946199,2.1386114073406e-12,1e-25,30
1.911e-07,2.5e+19,28130.989081374,28130.989081374,2.1386114073406e-12,1e-25,30
1.912e-07,2.5e+19,28282.200673637,28282.200673637,2.1386114073406e-12,1e-25,30
1.913e-07,2.5e+19,28434.225068662,28434.225068662,2.1386114073406e-12,1e-25,30
1.914e-07,2.5e+19,28587.06663548,28587.06663548,2.1386114073406e-12,1e-25,30
1.915e-07,2.5e+19,28740.729766609,28740.729766609,2.1386114073406e-12,1e-25,30
1.916e-07,2.5e+19,28895.218878177,28895.218878177,2.1386114073406e-12,1e-25,30
1.917e-07,2.5e+19,29050.538410048,29050.538410048,2.1386114073406e-12,1e-25,30
1.918e-07,2.5e+19,29206.692825956,29206.692825956,2.1386114073406e-12,1e-25,30
1.919e-07,2.5e+19,29363.686613624,29363.686613624,2.1386114073406e-12,1e-25,30
1.92e-07,2.5e+19,29521.5242849,29521.5242849,2.1386114073406e-12,1e-25,30
1.921e-07,2.5e+19,29680.210375886,29680.210375886,2.1386114073406e-12,1e-25,30
1.922e-07,2.5e+19,29839.749447062,29839.749447062,2.1386114073406e-12,1e-25,30
1.923e-07,2.5e+19,30000.146083427,30000.146083427,2.1386114073406e-12,1e-25,30
1.924e-07,2.5e+19,30161.404894622,30161.404894622,2.1386114073406e-12,1e-25,30
1.925e-07,2.5e+19,30323.530515068,30323.530515068,2.1386114073406e-12,1e-25,30
1.926e-07,2.5e+19,30486.527604097,30486.527604097,2.1386114073406e-12,1e-25,30
1.927e-07,2.5e+19,30650.400846084,30650.400846084,2.1386114073406e-12,1e-25,30
1.928e-07,2.5e+19,30815.154950588,30815.154950588,2.1386114073406e-12,1e-25,30
1.929e-07,2.5e+19,30980.794652478,30980.794652478,2.1386114073406e-12,1e-25,30
1.93e-07,2.5e+19,31147.324712079,31147.324712079,2.1386114073406e-12,1e-25,30
1.931e-07,2.5e+19,31314.749915301,31314.749915301,2.1386114073406e-12,1e-25,30
1.932e-07,2.5e+19,31483.075073781,31483.075073781,2.1386114073406e-12,1e-25,30
1.933e-07,2.5e+19,31652.305025018,31652.305025018,2.1386114073406e-12,1e-25,30
1.934e-07,2.5e+19,31822.444632517,31822.444632517,2.1386114073406e-12,1e-25,30
1.935e-07,2.5e+19,31993.498785921,31993.498785921,2.1386114073406e-12,1e-25,30
1.936e-07,2.5e+19,32165.472401162,32165.472401162,2.1386114073406e-12,1e-25,30
1.937e-07,2.5e+19,32338.370420591,32338.370420591,2.1386114073406e-12,1e-25,30
1.938e-07,2.5e+19,32512.197813129,32512.197813129,2.1386114073406e-12,1e-25,30
1.939e-07,2.5e+19,32686.959574405,32686.959574405,2.1386114073406e-12,1e-25,30
1.94e-07,2.5e+19,32862.6607269,32862.6607269,2.1386114073406e-12,1e-25,30
1.941e-07,2.5e+19,33039.306320094,33039.306320094,2.1386114073406e-12,1e-25,30
1.942e-07,2.5e+19,33216.901430608,33216.901430608,2.1386114073406e-12,1e-25,30
1.943e-07,2.5e+19,33395.451162352,33395.451162352,2.1386114073406e-12,1e-25,30
1.944e-07,2.5e+19,33574.96064667,33574.96064667,2.1386114073406e-12,1e-25,30
1.945e-07,2.5e+19,33755.435042489,33755.435042489,2.1386114073406e-12,1e-25,30
1.946e-07,2.5e+19,33936.879536467,33936.879536467,2.1386114073406e-12,1e-25,30
1.947e-07,2.5e+19,34119.29934314,34119.29934314,2.1386114073406e-12,1e-25,30
1.948e-07,2.5e+19,34302.699705076,34302.699705076,2.1386114073406e-12,1e-25,30
1.949e-07,2.5e+19,34487.08589302,34487.08589302,2.1386114073406e-12,1e-25,30
1.95e-07,2.5e+19,34672.463206052,34672.463206052,2.1386114073406e-12,1e-25,30
1.951e-07,2.5e+19,34858.836971735,34858.836971735,2.1386114073406e-12,1e-25,30
1.952e-07,2.5e+19,35046.212546266,35046.212546266,2.1386114073406e-12,1e-25,30
1.953e-07,2.5e+19,35234.595314638,35234.595314638,2.1386114073406e-12,1e-25,30
1.954e-07,2.5e+19,35423.990690787,35423.990690787,2.1386114073406e-12,1e-25,30
1.955e-07,2.5e+19,35614.404117749,35614.404117749,2.1386114073406e-12,1e-25,30
1.956e-07,2.5e+19,35805.841067821,35805.841067821,2.1386114073406e-12,1e-25,30
1.957e-07,2.5e+19,35998.307042714,35998.307042714,2.1386114073406e-12,1e-25,30
1.958e-07,2.5e+19,36191.80757371,36191.80757371,2.1386114073406e-12,1e-25,30
1.959e-07,2.5e+19,36386.348221825,36386.348221825,2.1386114073406e-12,1e-25,30
